Taxon name,Author
Ceriscoides turgida,(Roxb.) Tirveng.
Cerothamnus pumilus,Small
Ceroxylon alpinum,Bonpl. ex DC.
Ceroxylon amazonicum,Galeano
Ceroxylon ceriferum,(H.Karst.) Pittier
Ceroxylon echinulatum,Galeano
Ceroxylon parvifrons,(Engel) H.Wendl.
Ceroxylon parvum,Galeano
Ceroxylon peruvianum,"Galeano, Sanín & K.Mejia"
Ceroxylon pityrophyllum,(Mart.) Mart. ex H.Wendl.
Ceroxylon quindiuense,(H.Karst.) H.Wendl.
Ceroxylon sasaimae,Galeano
Ceroxylon ventricosum,Burret
Ceroxylon vogelianum,(Engel) H.Wendl.
Cervantesia bicolor,Cav.
Cervantesia tomentosa,Ruiz & Pav.
Cespedesia spathulata,(Ruiz & Pav.) Planch.
Cestrum acuminatissimum,Dunal
Cestrum affine,Kunth
Cestrum alternifolium,(Jacq.) O.E.Schulz
Cestrum anagyris,Dunal
Cestrum aurantiacum,Lindl.
Cestrum axillare,Vell.
Cestrum bigibbosum,Pittier
Cestrum bracteatum,Link & Otto
Cestrum brunneopurpureum,Francey
Cestrum cahosianum,Urb. & Ekman
Cestrum capsulare,Carvalho & A.Schnoor
Cestrum chimborazinum,Francey
Cestrum coelophlebium,O.E.Schulz
Cestrum colombianum,Francey
Cestrum conglomeratum,Ruiz & Pav.
Cestrum corcovadense,Miers
Cestrum coriaceum,Miers
Cestrum cuneifolium,Francey
Cestrum cuspidatum,Sendtn.
Cestrum daphnoides,Griseb.
Cestrum darcyanum,C.Benítez de Rojas & Sawyer
Cestrum dependens,(Ruiz & Pav.) J.F.Macbr.
Cestrum dielsii,Werderm.        
Cestrum diurnum,L.
Cestrum diversifolium,Francey
Cestrum ecuadorense,Francey
Cestrum ehrenbergii,Schltdl. ex Dunal
Cestrum euanthes,Schltdl.
Cestrum flavinervium,Francey
Cestrum fulvescens,Fernald
Cestrum glabrescens,(Morton) Steyerm. & Maguire
Cestrum glanduliferum,Kerber ex Francey
Cestrum glaucophyllum,Francey
Cestrum glomeratum,Schott ex Sendt.
Cestrum guatemalense,Francey
Cestrum hirtellum,Schltdl.
Cestrum hirtum,Sw.
Cestrum humboldtii,Francey
Cestrum imbricatum,Rusby
Cestrum intermedium,Sendtn.
Cestrum killipii,Francey
Cestrum kunthii,Francey
Cestrum laevifolium,Francey        
Cestrum laevigatum,Schltdl.
Cestrum lanceolatum,Miers
Cestrum latifolium,Lam.
Cestrum laurifolium,L'Hér.
Cestrum lewisii,D'Arcy
Cestrum lindenii,Dunal
Cestrum longiflorum,Ruiz & Pav.
Cestrum luteovirescens,Francey
Cestrum macrophyllum,Vent.
Cestrum magnifolium,Francey
Cestrum mariquitense,Kunth
Cestrum megalophyllum,Dunal
Cestrum microcalyx,Francey
Cestrum mononeurum,Urb. & Ekman
Cestrum montanum,Miers
Cestrum mortonianum,J.L.Gentry
Cestrum nocturnum,L.
Cestrum oblongifolium,Schltdl.
Cestrum ochraceum,Francey
Cestrum ovatolanceolatum,Francey
Cestrum pacayense,Francey
Cestrum parqui,(Lam.) L'Hér.
Cestrum petiolare,Kunth
Cestrum pittieri,Francey
Cestrum poasanum,Donn.Sm.
Cestrum potaliifolium,Dunal
Cestrum pulverulentum,Francey
Cestrum racemosum,Ruiz & Pav.
Cestrum reticulatum,Francey
Cestrum rugulosum,Francey
Cestrum ruizteranianum,Benítez & D'Arcy
Cestrum salicifolium,Jacq.
Cestrum salzmannii,Dunal
Cestrum scandens,Vahl
Cestrum schlechtendahlii,G.Don
Cestrum strigilatum,Ruiz & Pav.
Cestrum subpulverulentum,Mart.
Cestrum taylorii,Britton & P.Wilson
Cestrum tillettii,Benítez & D'Arcy
Cestrum tipocochense,Werderm.
Cestrum toledii,Carvalho & A.Schnoor
Cestrum tomentosum,L.f.
Cestrum undulatum,Ruiz & Pav.
Cestrum vestioides,Schltdl.
Cestrum vestitum,Hook.
Cestrum viminale,Sendtn.
Ceuthocarpus involucratus,(Wernham) Aiello
Ceuthostoma palawanense,L.A.S.Johnson
Ceuthostoma terminale,L.A.S.Johnson
Chadsia flammea,Bojer
Chadsia magnifica,R.Vig.
Chadsia salicina,Baill.
Chaenomeles cathayensis,(Hemsl.) C.K.Schneid.
Chaenomeles japonica,(Thunb.) Lindl. ex Spach
Chaenomeles sinensis,(Dum.Cours.) Koehne
Chaenomeles thibetica,T.T.Yu
Chaetachme aristata,Planch.
Chaetocarpus acutifolius,(Britton & P.Wilson) Borhidi
Chaetocarpus africanus,Pax
Chaetocarpus castanocarpus,(Roxb.) Thwaites
Chaetocarpus cordifolius,(Urb.) Borhidi
Chaetocarpus coriaceus,Thwaites
Chaetocarpus echinocarpus,(Baill.) Ducke
Chaetocarpus ferrugineus,Philcox
Chaetocarpus gabonensis,Breteler
Chaetocarpus globosus,(Sw.) Fawc. & Rendle
Chaetocarpus myrsinites,Baill.
Chaetocarpus pearcei,Rusby
Chaetocarpus pubescens,(Thwaites) Hook.f.
Chaetocarpus rabaraba,Capuron
Chaetocarpus schomburgkianus,(Kuntze) Pax & K.Hoffm.
Chalepophyllum guyanense,Hook.f.
Chalybea brevipedunculata,"Penneys, C. Ulloa & D. Fernández"
Chalybea corymbifera,Naudin
Chalybea kirkbridei,(Wurdack) M.E.Morales & Penneys
Chalybea macrocarpa,(L.Uribe) M.E.Morales & Penneys
Chalybea minor,(L.Uribe) M.E.Morales & Penneys
Chalybea mutisiana,(L.Uribe) M.E.Morales & Penneys
Chalybea occidentalis,(Lozano & N.Ruiz-R.) M.E.Morales & Penneys
Chalybea penduliflora,(Wurdack) M.E.Morales & Penneys
Chamaecrista adiantifolia,(Spruce ex Benth.) H.S.Irwin & Barneby
Chamaecrista amabilis,H.S.Irwin & Barneby
Chamaecrista amorimii,Barneby
Chamaecrista apoucouita,(Aubl.) H.S.Irwin & Barneby
Chamaecrista aspidiifolia,H.S.Irwin & Barneby
Chamaecrista aspleniifolia,(H.S.Irwin & Barneby) Govaerts
Chamaecrista auris-zerdae,(H.S.Irwin & Barneby) H.S.Irwin
Chamaecrista aurivilla,(Benth.) H.S.Irwin & Barneby
Chamaecrista bahiae,(H.S.Irwin) H.S.Irwin & Barneby
Chamaecrista blanchetii,"(Benth.) Conc., L.P.Queiroz & G.P.Lewis"
Chamaecrista boyanii,(H.S.Irwin & Barneby) H.S.Irwin & Barneby
Chamaecrista brachystachya,"(Benth.) Conc., L.P.Queiroz & G.P.Lewis"
Chamaecrista bracteolata,(Vogel) H.S.Irwin & Barneby
Chamaecrista bucherae,(Moldenke) H.S.Irwin & Barneby
Chamaecrista celiae,(H.S.Irwin & Barneby) H.S.Irwin & Barneby
Chamaecrista chaetostegia,(H.S.Irwin & Barneby) H.S.Irwin & Barneby
Chamaecrista compitalis,(H.S.Irwin & Barneby) H.S.Irwin & Barneby
Chamaecrista confertiformis,"(H.S.Irwin & Barneby) Conc., L.P.Queiroz & G.P.Lewis"
Chamaecrista cytisoides,(DC. ex Collad.) H.S.Irwin & Barneby
Chamaecrista decora,"(H.S.Irwin & Barneby) Conc., L.P.Queiroz & G.P.Lewis"
Chamaecrista dentata,(Vogel) H.S.Irwin & Barneby
Chamaecrista desvauxii,(Collad.) Killip
Chamaecrista duartei,(H.S.Irwin) H.S.Irwin & Barneby
Chamaecrista dumalis,(Hoehne) H.S.Irwin & Barneby
Chamaecrista eitenorum,(H.S.Irwin & Barneby) H.S.Irwin & Barneby
Chamaecrista ensiformis,(Vell.) H.S.Irwin & Barneby
Chamaecrista flexuosa,(L.) Greene
Chamaecrista fodinarum,H.S.Irwin & Barneby
Chamaecrista fulgida,Barneby
Chamaecrista glandulosa,(L.) Greene
Chamaecrista glaziovii,(Taub. ex Harms) H.S.Irwin & Barneby
Chamaecrista glischrodes,H.S.Irwin & Barneby
Chamaecrista greggii,(A.Gray) Pollard ex A.Heller
Chamaecrista hatschbachii,H.S.Irwin & Barneby
Chamaecrista hedysaroides,(Vogel) H.S.Irwin & Barneby
Chamaecrista hymenaeifolia,(Benth.) H.S.Irwin & Barneby
Chamaecrista katangensis,(Ghesq.) Lock
Chamaecrista lentiscifolia,(Benth.) H.S.Irwin & Barneby
Chamaecrista machaeriifolia,(Benth.) H.S.Irwin & Barneby
Chamaecrista mindanaensis,(Merr.) K.Larsen
Chamaecrista multiseta,(Benth.) H.S.Irwin & Barneby
Chamaecrista negrensis,(H.S.Irwin) H.S.Irwin & Barneby
Chamaecrista nuda,(H.S.Irwin & Barneby) H.S.Irwin & Barneby
Chamaecrista onusta,H.S.Irwin & Barneby
Chamaecrista orbiculata,(Benth.) H.S.Irwin & Barneby
Chamaecrista orenocensis,(Benth.) H.S.Irwin & Barneby
Chamaecrista paniculata,(Benth.) H.S.Irwin & Barneby
Chamaecrista phyllostachya,(Benth.) H.S.Irwin & Barneby
Chamaecrista pilicarpa,(Glaz. ex Harms) H.S.Irwin & Barneby
Chamaecrista polystachya,(Benth.) H.S.Irwin & Barneby
Chamaecrista pteropoda,Barneby
Chamaecrista scleroxylon,(Ducke) H.S.Irwin & Barneby
Chamaecrista sincorana,(Harms) H.S.Irwin & Barneby
Chamaecrista spinulosa,(H.S.Irwin & Barneby) H.S.Irwin & Barneby
Chamaecrista subpeltata,(Rizzini) H.S.Irwin & Barneby
Chamaecrista ulmea,H.S.Irwin & Barneby
Chamaecrista xinguensis,(Ducke) H.S.Irwin & Barneby
Chamaecrista zygophylloides,(Taub.) H.S.Irwin & Barneby
Chamaecyparis formosensis,Matsum.
Chamaecyparis lawsoniana,(A.Murray) Parl.
Chamaecyparis obtusa,(Siebold & Zucc.) Endl.
Chamaecyparis pisifera,(Siebold & Zucc.) Endl.
Chamaecyparis thyoides,"(L.) Britton, Sterns & Poggenb."
Chamaedorea alternans,H.Wendl.
Chamaedorea angustisecta,Burret
Chamaedorea arenbergiana,H.Wendl.
Chamaedorea carchensis,Standl. & Steyerm.
Chamaedorea christinae,Hodel
Chamaedorea deckeriana,(Klotzsch) Hemsl.
Chamaedorea elatior,Mart.
Chamaedorea falcifera,H.E.Moore
Chamaedorea foveata,Hodel
Chamaedorea fractiflexa,Hodel & Cast.Mont
Chamaedorea fragrans,(Ruiz & Pav.) Mart.
Chamaedorea glaucifolia,H.Wendl.
Chamaedorea keelerorum,Hodel & Cast.Mont
Chamaedorea klotzschiana,H.Wendl.
Chamaedorea linearis,(Ruiz & Pav.) Mart.
Chamaedorea neurochlamys,Burret
Chamaedorea oblongata,Mart.
Chamaedorea pinnatifrons,(Jacq.) Oerst.
Chamaedorea plumosa,Hodel
Chamaedorea pochutlensis,Liebm.
Chamaedorea sartorii,Liebm.
Chamaedorea seifrizii,Burret
Chamaedorea tepejilote,Liebm.
Chamaedorea woodsoniana,L.H.Bailey
Chamaefistula toroana,Britton & Killip
Chamaemeles coriacea,Lindl.
Chamaerops humilis,L.
Chambeyronia lepidota,H.E.Moore
Chambeyronia macrocarpa,(Brongn.) Vieill. ex Becc.
Chamguava gentlei,(Lundell) Landrum
Chamguava musarum,(Standl. & Steyerm.) Landrum
Chamguava schippii,(Standl.) Landrum
Champereia manillana,(Blume) Merr.
Changiostyrax dolichocarpus,(C.J.Qi) Tao Chen
Chapelieria madagascariensis,A.Rich. ex DC.
Chapmannia gracilis,(Balf.f.) Thulin
Chapmannia reghidensis,Thulin & McKean
Chapmannia sericea,Thulin & McKean
Chapmannia tinireana,Thulin
Charpentiera australis,Sohmer
Charpentiera densiflora,Sohmer
Charpentiera elliptica,(Hillebr.) A.Heller
Charpentiera obovata,Gaudich.
Charpentiera ovata,Gaudich.
Charpentiera tomentosa,Sohmer
Chascotheca neopeltandra,(Griseb.) Urb.
Chassalia albiflora,K.Krause
Chassalia androrangensis,Bremek.
Chassalia bojeri,Bremek.
Chassalia boryana,DC.
Chassalia catatii,Drake ex Bremek.
Chassalia chartacea,Craib
Chassalia comorensis,Bremek.
Chassalia corallioides,(Cordem.) Verdc.
Chassalia coriacea,Verdc.
Chassalia coursii,Bremek.
Chassalia curviflora,(Wall.) Thwaites
Chassalia discolor,K.Schum.
Chassalia eurybotrya,Bremek.
Chassalia gaertneroides,(Cordem.) Verdc.
Chassalia grandifolia,DC.
Chassalia grandistipula,Bremek.
Chassalia kenyensis,Verdc.
Chassalia lukwangulensis,Thulin
Chassalia lushaiensis,(C.E.C.Fisch.) Fisch.
Chassalia magnifolia,Bremek.
Chassalia moramangensis,Bremek.
Chassalia parvifolia,K.Schum.
Chassalia stenantha,Bremek.
Chassalia subochreata,(De Wild.) Robyns
Chassalia ternifolia,(Baker) Bremek.
Chassalia tsaratanensis,Bremek.
Chassalia umbraticola,Vatke
Chaunochiton angustifolium,Sleumer
Chaunochiton kappleri,(Sagot ex Engl.) Ducke
Chaunochiton loranthoides,Benth.
Chazaliella abrupta,(Hiern) E.M.A.Petit & Verdc.
Chazaliella coffeosperma,(K.Schum.) Verdc.
Chazaliella oddonii,(De Wild.) E.M.A.Petit & Verdc.
Cheiloclinium anomalum,Miers
Cheiloclinium cognatum,(Miers) A.C.Sm.
Cheiloclinium obtusum,A.C.Sm.
Cheilosa montana,Blume
Cheirodendron bastardianum,(Decne.) Frodin
Cheirodendron dominii,Krajina
Cheirodendron fauriei,Hochr.
Cheirodendron forbesii,(Sherff) Lowry
Cheirodendron platyphyllum,(Hook. & Arn.) Seem.
Cheirodendron trigynum,(Gaudich.) A.Heller
Chelyocarpus chuco,(Mart.) H.E.Moore
Chelyocarpus dianeurus,(Burret) H.E.Moore
Chelyocarpus ulei,Dammer
Chengiopanax fargesii,(Franch.) C.B.Shang & J.Y.Huang
Chengiopanax sciadophylloides,(Franch. & Sav.) C.B.Shang & J.Y.Huang
Chenopodium nesodendron,Skottsb.
Chenopodium oahuense,(Meyen) Aellen
Chiangiodendron mexicanum,Wendt
Chidlowia sanguinea,Hoyle
Chieniodendron hainanense,Tsiang & P.T.Li
Chilopsis linearis,(Cav.) Sweet
Chimarrhis barbata,(Ducke) Bremek.
Chimarrhis brevipes,Steyerm.
Chimarrhis cubensis,Steyerm.
Chimarrhis cymosa,Jacq.
Chimarrhis duckeana,Delprete
Chimarrhis ekmanii,Borhidi
Chimarrhis gentryana,Delprete
Chimarrhis glabriflora,Ducke
Chimarrhis hookeri,K.Schum.
Chimarrhis jamaicensis,(Urb.) Steyerm.
Chimarrhis latifolia,Standl.
Chimarrhis microcarpa,Standl.
Chimarrhis parviflora,Standl.
Chimarrhis speciosa,(Steyerm.) Delprete
Chimarrhis turbinata,DC.
Chimonanthus grammatus,M.C.Liu
Chimonanthus nitens,Oliv.
Chimonanthus praecox,(L.) Link
Chiococca alba,(L.) Hitchc.
Chiococca belizensis,Lundell
Chiococca naiguatensis,Steyerm.
Chiococca nitida,Benth.
Chiococca pachyphylla,Wernham
Chiococca petrina,Wiggins
Chiococca phaenostemon,Schltdl.
Chiococca rubriflora,Lundell
Chiococca semipilosa,Standl. & Steyerm.
Chiococca sessilifolia,Miranda
Chionanthus abriaquiensis,Fern.Alonso & Cogollo
Chionanthus acunae,(Borhidi & O.Muñiz) Borhidi
Chionanthus adamsii,Stearn
Chionanthus albidiflorus,Thwaites
Chionanthus amblirrhinus,P.S.Green
Chionanthus avilensis,(Steyerm.) P.S.Green
Chionanthus axillaris,R.Br.
Chionanthus axilliflorus,(Griseb.) Stearn
Chionanthus bakeri,(Urb.) Stearn
Chionanthus balgooyana,Kiew
Chionanthus beccarii,(Stapf) Kiew
Chionanthus boutonii,A.J.Scott
Chionanthus brachystachys,(Schltr.) P.S.Green
Chionanthus brachythyrsus,(Merr.) P.S.Green
Chionanthus brassii,(Kobuski) Kiew
Chionanthus bumelioides,(Griseb.) Stearn
Chionanthus calcicola,(Kerr) Kiew
Chionanthus callophylloides,Kiew
Chionanthus callophyllus,Blume
Chionanthus caudifolius,(Ridl.) Kiew
Chionanthus caymanensis,Stearn
Chionanthus celebicus,Koord.
Chionanthus clementis,(Quisumb. & Merr.) Kiew
Chionanthus colonchensis,Cornejo & Bonifaz
Chionanthus compactus,Sw.
Chionanthus cordulatus,Koord.
Chionanthus coriaceus,(S.Vidal) Yuen P.Yang & S.Y.Lu
Chionanthus crassifolius,(Mart.) P.S.Green
Chionanthus crispus,Kiew
Chionanthus curvicarpus,Kiew
Chionanthus cuspidatus,Blume
Chionanthus decipiens,P.S.Green
Chionanthus densiflorus,Zoll. & Moritzi
Chionanthus dictyophyllus,(Urb.) Stearn
Chionanthus diversifolius,Miq.
Chionanthus domingensis,Lam.
Chionanthus dussii,(Krug & Urb.) Stearn
Chionanthus ellipticus,Blume
Chionanthus enerve,(Steenis) Kiew
Chionanthus eriorachis,(Kerr) P.S.Green
Chionanthus evenius,(Stapf) Kiew
Chionanthus ferrugineus,(Gilg) P.S.Green
Chionanthus filiformis,(Vell.) P.S.Green
Chionanthus fluminensis,(Miers) P.S.Green
Chionanthus gigantifolius,Koord.
Chionanthus gigas,(Lingelsh.) Kiew
Chionanthus globosus,(Kiew) Kiew
Chionanthus glomeratus,Blume
Chionanthus grandifolius,(Elmer) Kiew
Chionanthus greenii,Lombardi
Chionanthus guangxiensis,B.M.Miao
Chionanthus guianensis,(Aubl.) Pers.
Chionanthus hahlii,(Rech.) Kiew
Chionanthus hainanensis,(Merr. & Chun) B.M.Miao
Chionanthus havilandii,Kiew
Chionanthus henryae,H.L.Li
Chionanthus henryanus,P.S.Green
Chionanthus holdridgii,(Camp & Monach.) Stearn
Chionanthus implicatus,(Rusby) P.S.Green
Chionanthus jamaicensis,(Urb.) Stearn
Chionanthus kajewskii,(Sleumer) Kiew
Chionanthus kinabaluensis,Kiew
Chionanthus lancifolius,(Ridl.) Kiew
Chionanthus leopoldii,Kiew
Chionanthus ligustrinus,(Sw.) Pers.
Chionanthus littoreus,Miq.
Chionanthus longiflorus,(H.L.Li) B.M.Miao
Chionanthus longipetalus,(Merr.) Kiew
Chionanthus lucens,Kiew
Chionanthus luzonicus,Blume
Chionanthus macrocarpus,Blume
Chionanthus macrothyrsus,(Merr.) Soejarto & P.K.Lôc
Chionanthus mala-elengi,(Dennst.) P.S.Green
Chionanthus maxwellii,P.S.Green
Chionanthus megistocarpus,Fern.Alonso & Cogollo
Chionanthus micranthus,(Mart.) Lozano & Fuertes
Chionanthus microbotrys,(Kerr) P.S.Green
Chionanthus microstigma,(Gagnep.) P.S.Green
Chionanthus minutiflorus,Kurz
Chionanthus montanus,Blume
Chionanthus nitens,Koord. & Valeton
Chionanthus nitidus,(Merr.) Kiew
Chionanthus oblanceolatus,(B.L.Rob.) P.S.Green
Chionanthus oblongifolius,Koord. & Valeton
Chionanthus oliganthus,(Merr.) Kiew
Chionanthus pachyphyllus,(Merr.) Kiew
Chionanthus palustris,Kiew
Chionanthus panamensis,(Standl.) Stearn
Chionanthus parkinsonii,(Hutch.) Bennet & Raizada
Chionanthus parviflorus,"Cornejo , Lombardi & W.W.Thomas"
Chionanthus pedunculatus,P.S.Green
Chionanthus plurifloroides,Kiew
Chionanthus pluriflorus,(Knobl.) Kiew
Chionanthus polycephalus,Kiew
Chionanthus polygamus,(Roxb.) Kiew
Chionanthus porcatus,Kiew
Chionanthus proctorii,Stearn
Chionanthus pubescens,Kunth
Chionanthus pubicalyx,(Ridl.) Kiew
Chionanthus purpureus,Lam.
Chionanthus pygmaeus,Small
Chionanthus quadristamineus,F.Muell.
Chionanthus ramiflorus,Roxb.
Chionanthus remotinervius,(Merr.) Kiew
Chionanthus retusus,Lindl. & Paxton
Chionanthus riparius,(Lingelsh.) Kiew
Chionanthus rostratus,(Teijsm. & Binn.) Miq.
Chionanthus rugosus,Kiew
Chionanthus rupicola,(Lingelsh.) Kiew
Chionanthus sabahensis,Kiew
Chionanthus salicifolius,(Lingelsh.) Kiew
Chionanthus sessiliflorus,(Hemsl.) Kiew
Chionanthus sleumeri,(C.T.White) Stearn
Chionanthus spicatus,Blume
Chionanthus spiciferus,(Ridl.) Kiew
Chionanthus stenurus,(Merr.) Kiew
Chionanthus subsessilis,(Eichler) P.S.Green
Chionanthus sumatranus,Blume
Chionanthus sutepensis,(Kerr) P.S.Green
Chionanthus tenuis,P.S.Green
Chionanthus thorelii,(Gagnep.) P.S.Green
Chionanthus timorensis,Blume
Chionanthus trichotomus,(Vell.) P.S.Green
Chionanthus velutinus,(Kerr) P.S.Green
Chionanthus verruculatus,D.Fang
Chionanthus verticillatus,(Gagnep.) Soejarto & P.K.Lôc
Chionanthus virginicus,L.
Chionanthus vitiensis,(Seem.) A.C.Sm.
Chionanthus wurdackii,B.Ståhl
Chionanthus zeylanicus,L.
Chionanthus zollingerianus,Koord. & Valeton
Chione venosa,(Sw.) Urb.
Chionothrix somalensis,(T.Moore) Hook.f.
Chiranthodendron pentadactylon,Larreat.
Chisocheton aenigmaticus,Mabb.
Chisocheton amabilis,Miq.
Chisocheton cauliflorus,Merr.
Chisocheton ceramicus,Miq.
Chisocheton cumingianus,(C.DC.) Harms
Chisocheton curranii,Merr.
Chisocheton diversifolius,Miq.
Chisocheton dysoxylifolius,Kurz
Chisocheton erythrocarpus,Hiern
Chisocheton gliroides,P.F.Stevens
Chisocheton granatum,Mabb.
Chisocheton grandiflorus,Kurz
Chisocheton koordersii,Mabb.
Chisocheton lansiifolius,Mabb.
Chisocheton laosensis,Pellegr.
Chisocheton lasiocarpus,(Miq.) Valeton
Chisocheton lasiogynus,Boerl. & Koord.
Chisocheton longistipitatus,(F.M.Bailey) L.S.Sm.
Chisocheton macranthus,(Merr.) Airy Shaw
Chisocheton macrophyllus,King
Chisocheton maxilla-pisticis,Mabb.
Chisocheton medusae,Airy Shaw
Chisocheton mendozai,F.H.Hildebr. ex Steenis
Chisocheton montanus,P.F.Stevens
Chisocheton novobritannicus,P.F.Stevens
Chisocheton patens,Blume
Chisocheton pauciflorus,King
Chisocheton pellegrinianus,Mabb.
Chisocheton penduliflorus,Planch. ex Hiern
Chisocheton pentandrus,(Blanco) Merr.
Chisocheton perakensis,(Hemsl.) Mabb.
Chisocheton pilosus,C.DC.
Chisocheton pohlianus,Harms
Chisocheton polyandrus,Merr.
Chisocheton rex,Mabb.
Chisocheton ruber,Ridl.
Chisocheton sapindinus,P.F.Stevens
Chisocheton sarasinorum,Harms
Chisocheton sarawakanus,(C.DC.) Harms
Chisocheton sayeri,(C.DC.) P.F.Stevens
Chisocheton schoddei,P.F.Stevens
Chisocheton setosus,Ridl.
Chisocheton stellatus,P.F.Stevens
Chisocheton tenuis,P.F.Stevens
Chisocheton tomentosus,(Roxb.) Mabb.
Chisocheton velutinus,Mabb.
Chisocheton vindictae,Mabb.
Chisocheton warburgii,Harms
Chlorocardium rodiei,"(Schomb.) Rohwer, H.G.Richt. & van der Werff"
Chlorocardium venenosum,"(Kosterm. & Pinkley) Rohwer, H.G.Richt. & van der Werff"
Chlorocarpa pentaschista,Alston
Chloroleucon acacioides,(Ducke) Barneby & J.W.Grimes
Chloroleucon chacoense,(Burkart) Barneby & J.W.Grimes
Chloroleucon dumosum,(Benth.) G.P.Lewis
Chloroleucon eurycyclum,Barneby & J.W.Grimes
Chloroleucon extortum,Barneby & J.W.Grimes
Chloroleucon foliolosum,(Benth.) G.P.Lewis
Chloroleucon guantanamense,(Britton) Britton & Rose
Chloroleucon mangense,(Jacq.) Britton & Rose
Chloroleucon tenuiflorum,(Benth.) Barneby & J.W.Grimes
Chloroleucon tortum,(Mart.) Pittier
Chloroxylon faho,Capuron
Chloroxylon falcatum,Capuron
Chloroxylon swietenia,DC.
Choerospondias axillaris,(Roxb.) B.L.Burtt & A.W.Hill
Chomelia albicaulis,(Rusby) Steyerm.
Chomelia apodantha,(Standl.) Steyerm.
Chomelia barbata,Standl.
Chomelia bella,(Standl.) Steyerm.
Chomelia brachypoda,Donn.Sm.
Chomelia brasiliana,A.Rich.
Chomelia breedlovei,Borhidi
Chomelia caurensis,(Standl.) Steyerm.
Chomelia crassifolia,Borhidi
Chomelia delascioi,Steyerm.
Chomelia ecuadorensis,(K.Schum. & K.Krause) Steyerm.
Chomelia estrellana,Müll.Arg.
Chomelia gracilis,K.Schum. ex Glaziou
Chomelia grandicarpa,Dwyer
Chomelia grandifolia,(Huber) Steyerm.
Chomelia hirsuta,Gardner
Chomelia intercedens,Müll.Arg.
Chomelia juruensis,(Standl.) Steyerm.
Chomelia kirkbridei,Delprete
Chomelia longiflora,(Standl. ex Steyerm.) Steyerm.
Chomelia longituba,(Borhidi) Borhidi
Chomelia malaneoides,Müll.Arg.
Chomelia microloba,Donn.Sm.
Chomelia minutiflora,Glaz.
Chomelia monantha,(K.Schum. ex Standl.) Steyerm.
Chomelia myrtifolia,S.Moore
Chomelia obtusa,Cham. & Schltdl.
Chomelia occidentalis,Müll.Arg.
Chomelia oligantha,Müll.Arg.
Chomelia paniculata,(Bartl. ex DC.) Steyerm.
Chomelia parviflora,(Müll.Arg.) Müll.Arg.
Chomelia parvifolia,(Standl.) Govaerts
Chomelia pedunculosa,Benth.
Chomelia pohliana,Müll.Arg.
Chomelia polyantha,S.F.Blake
Chomelia pringlei,S.Watson
Chomelia pubescens,Cham. & Schltdl.
Chomelia ramiae,Steyerm.
Chomelia randioides,(Standl.) Steyerm.
Chomelia rauwolfioides,(Standl.) Steyerm.
Chomelia recordii,Standl.
Chomelia ribesioides,Benth. ex A.Gray
Chomelia rubra,Lorence & C.M.Taylor
Chomelia rudis,(Standl.) Lorence
Chomelia sericea,Müll.Arg.
Chomelia sessilis,Müll.Arg.
Chomelia spinosa,Jacq.
Chomelia stergiosii,Steyerm.
Chomelia tenuiflora,Benth.
Chomelia transiens,Müll.Arg.
Chomelia tristis,Müll.Arg.
Chomelia ulei,(K.Krause) Achille & Delprete
Chomelia venezuelensis,Steyerm.
Chomelia venulosa,W.C.Burger & C.M.Taylor
Chomelia vulpina,Müll.Arg.
Chondrodendron tomentosum,Ruiz & Pav.
Chondrostylis bancana,Boerl.
Chondrostylis kunstleri,(King ex Hook.f.) Airy Shaw
Chonemorpha verrucosa,(Blume) Mabb.
Chonocentrum cyathophorum,(Müll.Arg.) Pierre ex Pax & K.Hoffm.
Chonopetalum stenodictyum,Radlk.
Choriceras majus,Airy Shaw
Choriceras tricorne,(Benth.) Airy Shaw
Chorilaena quercifolia,Endl.
Chorisandrachne diplosperma,Airy Shaw
Chorisepalum psychotrioides,Ewan
Chorisepalum rotundifolium,Ewan
Chouxia bijugata,"G.E. Schatz, Gereau & Lowry"
Chouxia borealis,"G.E. Schatz, Gereau & Lowry"
Chouxia macrophylla,"G.E. Schatz, Gereau & Lowry"
Chouxia mollis,"G.E. Schatz, Gereau & Lowry"
Chouxia saboureaui,"Capuron ex G.E. Schatz, Gereau & Lowry"
Chouxia sorindeioides,Capuron
Christiana africana,DC.
Christiana eburnea,(Sprague) Kubitzki
Christiana macrodon,Toledo
Christiana mennegae,(Jans.-Jac. & Westra) Kubitzki
Christiana vescoana,(Baill.) Kubitzki
Chromolaena odorata,(L.) R.M.King & H.Rob.
Chromolucuma apiculata,Alves-Araújo & M.Alves
Chromolucuma baehniana,Monach.
Chromolucuma cespedisiiformis,J.F.Morales
Chromolucuma congestifolia,(Pilz) Alves-Araújo & M.Alves
Chromolucuma rubriflora,Ducke
Chronopappus bifrons,(DC. ex Pers.) DC.
Chrysanthemoides monilifera,(L.) Norl.
Chrysobalanus cuspidatus,Griseb. ex Duss
Chrysobalanus icaco,L.
Chrysobalanus prancei,I.M.Turner
Chrysochlamys allenii,(Maguire) Hammel
Chrysochlamys alterninervia,Cuatrec.
Chrysochlamys bracteolata,Cuatrec.
Chrysochlamys caribaea,Urb.
Chrysochlamys colombiana,(Cuatrec.) Cuatrec.
Chrysochlamys cuneata,(Planch. & Linden) Cuatrec.
Chrysochlamys dependens,Planch. & Triana
